precinct,party_detailed,votes,county_name,county_fips,candidate
001,DEMOCRAT,490,PIMA,4019,KYRSTEN SINEMA
0001 ACACIA,DEMOCRAT,1209,MARICOPA,4013,KYRSTEN SINEMA
0001 ACACIA,GREEN,84,MARICOPA,4013,ANGELA GREEN
0001 ACACIA,REPUBLICAN,891,MARICOPA,4013,MARTHA MCSALLY
0002 ACOMA,DEMOCRAT,757,MARICOPA,4013,KYRSTEN SINEMA
0002 ACOMA,GREEN,36,MARICOPA,4013,ANGELA GREEN
0002 ACOMA,REPUBLICAN,1305,MARICOPA,4013,MARTHA MCSALLY
0003 ACUNA,DEMOCRAT,1032,MARICOPA,4013,KYRSTEN SINEMA
0003 ACUNA,GREEN,52,MARICOPA,4013,ANGELA GREEN
0003 ACUNA,REPUBLICAN,167,MARICOPA,4013,MARTHA MCSALLY
0004 ADOBE,DEMOCRAT,590,MARICOPA,4013,KYRSTEN SINEMA
0004 ADOBE,GREEN,33,MARICOPA,4013,ANGELA GREEN
0004 ADOBE,REPUBLICAN,758,MARICOPA,4013,MARTHA MCSALLY
0005 ADORA,DEMOCRAT,1807,MARICOPA,4013,KYRSTEN SINEMA
0005 ADORA,GREEN,64,MARICOPA,4013,ANGELA GREEN
0005 ADORA,REPUBLICAN,2471,MARICOPA,4013,MARTHA MCSALLY
0006 AGUA FRIA,DEMOCRAT,477,MARICOPA,4013,KYRSTEN SINEMA
0006 AGUA FRIA,GREEN,31,MARICOPA,4013,ANGELA GREEN
0006 AGUA FRIA,REPUBLICAN,593,MARICOPA,4013,MARTHA MCSALLY
0007 AGUILA,DEMOCRAT,59,MARICOPA,4013,KYRSTEN SINEMA
0007 AGUILA,GREEN,9,MARICOPA,4013,ANGELA GREEN
0007 AGUILA,REPUBLICAN,151,MARICOPA,4013,MARTHA MCSALLY
0012 ALHAMBRA,REPUBLICAN,117,MARICOPA,4013,MARTHA MCSALLY
0013 ALPACA,DEMOCRAT,601,MARICOPA,4013,KYRSTEN SINEMA
0013 ALPACA,GREEN,18,MARICOPA,4013,ANGELA GREEN
0013 ALPACA,REPUBLICAN,833,MARICOPA,4013,MARTHA MCSALLY
0014 ALSUP,DEMOCRAT,160,MARICOPA,4013,KYRSTEN SINEMA
0014 ALSUP,GREEN,9,MARICOPA,4013,ANGELA GREEN
0014 ALSUP,REPUBLICAN,244,MARICOPA,4013,MARTHA MCSALLY
0015 ALTADENA,DEMOCRAT,364,MARICOPA,4013,KYRSTEN SINEMA
0015 ALTADENA,GREEN,24,MARICOPA,4013,ANGELA GREEN
0015 ALTADENA,REPUBLICAN,606,MARICOPA,4013,MARTHA MCSALLY
0016 ALVARADO,DEMOCRAT,556,MARICOPA,4013,KYRSTEN SINEMA
0016 ALVARADO,GREEN,27,MARICOPA,4013,ANGELA GREEN
0016 ALVARADO,REPUBLICAN,283,MARICOPA,4013,MARTHA MCSALLY
0017 AMBER,DEMOCRAT,664,MARICOPA,4013,KYRSTEN SINEMA
0017 AMBER,GREEN,27,MARICOPA,4013,ANGELA GREEN
0017 AMBER,REPUBLICAN,541,MARICOPA,4013,MARTHA MCSALLY
0018 ANDERSON,DEMOCRAT,648,MARICOPA,4013,KYRSTEN SINEMA
0018 ANDERSON,GREEN,26,MARICOPA,4013,ANGELA GREEN
0018 ANDERSON,REPUBLICAN,585,MARICOPA,4013,MARTHA MCSALLY
0024 APACHE WELLS,DEMOCRAT,1350,MARICOPA,4013,KYRSTEN SINEMA
0024 APACHE WELLS,GREEN,88,MARICOPA,4013,ANGELA GREEN
0024 APACHE WELLS,REPUBLICAN,1961,MARICOPA,4013,MARTHA MCSALLY
0025 APPLEBY,DEMOCRAT,1880,MARICOPA,4013,KYRSTEN SINEMA
0025 APPLEBY,GREEN,56,MARICOPA,4013,ANGELA GREEN
0025 APPLEBY,REPUBLICAN,1976,MARICOPA,4013,MARTHA MCSALLY
0026 ARBOLEDA,DEMOCRAT,847,MARICOPA,4013,KYRSTEN SINEMA
0026 ARBOLEDA,GREEN,45,MARICOPA,4013,ANGELA GREEN
0026 ARBOLEDA,REPUBLICAN,1793,MARICOPA,4013,MARTHA MCSALLY
0027 ARCADIA,DEMOCRAT,1344,MARICOPA,4013,KYRSTEN SINEMA
0027 ARCADIA,GREEN,35,MARICOPA,4013,ANGELA GREEN
0027 ARCADIA,REPUBLICAN,833,MARICOPA,4013,MARTHA MCSALLY
0028 ARDMORE,DEMOCRAT,1664,MARICOPA,4013,KYRSTEN SINEMA
0028 ARDMORE,GREEN,52,MARICOPA,4013,ANGELA GREEN
0028 ARDMORE,REPUBLICAN,496,MARICOPA,4013,MARTHA MCSALLY
0029 ARLINGTON,DEMOCRAT,27,MARICOPA,4013,KYRSTEN SINEMA
0029 ARLINGTON,GREEN,3,MARICOPA,4013,ANGELA GREEN
0029 ARLINGTON,REPUBLICAN,100,MARICOPA,4013,MARTHA MCSALLY
003,DEMOCRAT,125,PIMA,4019,KYRSTEN SINEMA
003,GREEN,9,PIMA,4019,ANGELA GREEN
0035 AUGUSTA RANCH,DEMOCRAT,864,MARICOPA,4013,KYRSTEN SINEMA
0035 AUGUSTA RANCH,GREEN,37,MARICOPA,4013,ANGELA GREEN
0035 AUGUSTA RANCH,REPUBLICAN,1181,MARICOPA,4013,MARTHA MCSALLY
0036 AVIANO,DEMOCRAT,1373,MARICOPA,4013,KYRSTEN SINEMA
0036 AVIANO,GREEN,25,MARICOPA,4013,ANGELA GREEN
0036 AVIANO,REPUBLICAN,1392,MARICOPA,4013,MARTHA MCSALLY
0037 AVONDALE,DEMOCRAT,567,MARICOPA,4013,KYRSTEN SINEMA
0037 AVONDALE,GREEN,30,MARICOPA,4013,ANGELA GREEN
0037 AVONDALE,REPUBLICAN,162,MARICOPA,4013,MARTHA MCSALLY
0038 AZTEC SPRINGS,DEMOCRAT,1174,MARICOPA,4013,KYRSTEN SINEMA
0038 AZTEC SPRINGS,GREEN,96,MARICOPA,4013,ANGELA GREEN
0038 AZTEC SPRINGS,REPUBLICAN,1308,MARICOPA,4013,MARTHA MCSALLY
0039 BALBOA,DEMOCRAT,1575,MARICOPA,4013,KYRSTEN SINEMA
0039 BALBOA,GREEN,59,MARICOPA,4013,ANGELA GREEN
0039 BALBOA,REPUBLICAN,679,MARICOPA,4013,MARTHA MCSALLY
004,DEMOCRAT,516,PIMA,4019,KYRSTEN SINEMA
004,GREEN,31,PIMA,4019,ANGELA GREEN
004,REPUBLICAN,64,PIMA,4019,MARTHA MCSALLY
004 CLIFTON 2,DEMOCRAT,185,GREENLEE,4011,KYRSTEN SINEMA
004 CLIFTON 2,GREEN,11,GREENLEE,4011,ANGELA GREEN
004 CLIFTON 2,REPUBLICAN,148,GREENLEE,4011,MARTHA MCSALLY
0046 BETHANY PARK,REPUBLICAN,106,MARICOPA,4013,MARTHA MCSALLY
0047 BETHUNE,DEMOCRAT,506,MARICOPA,4013,KYRSTEN SINEMA
0047 BETHUNE,GREEN,24,MARICOPA,4013,ANGELA GREEN
0047 BETHUNE,REPUBLICAN,75,MARICOPA,4013,MARTHA MCSALLY
0048 BILTMORE,DEMOCRAT,1048,MARICOPA,4013,KYRSTEN SINEMA
0048 BILTMORE,GREEN,19,MARICOPA,4013,ANGELA GREEN
0048 BILTMORE,REPUBLICAN,904,MARICOPA,4013,MARTHA MCSALLY
0049 BISCUIT FLAT,DEMOCRAT,609,MARICOPA,4013,KYRSTEN SINEMA
0049 BISCUIT FLAT,GREEN,24,MARICOPA,4013,ANGELA GREEN
0049 BISCUIT FLAT,REPUBLICAN,1198,MARICOPA,4013,MARTHA MCSALLY
005,DEMOCRAT,747,PIMA,4019,KYRSTEN SINEMA
005,GREEN,100,PIMA,4019,ANGELA GREEN
005,REPUBLICAN,1507,PIMA,4019,MARTHA MCSALLY
005 MORENCI,DEMOCRAT,195,GREENLEE,4011,KYRSTEN SINEMA
005 MORENCI,GREEN,21,GREENLEE,4011,ANGELA GREEN
005 MORENCI,REPUBLICAN,316,GREENLEE,4011,MARTHA MCSALLY
0050 BLACK CANYON,DEMOCRAT,1541,MARICOPA,4013,KYRSTEN SINEMA
0050 BLACK CANYON,GREEN,119,MARICOPA,4013,ANGELA GREEN
0050 BLACK CANYON,REPUBLICAN,902,MARICOPA,4013,MARTHA MCSALLY
0058 BONSALL PARK,DEMOCRAT,206,MARICOPA,4013,KYRSTEN SINEMA
0058 BONSALL PARK,GREEN,30,MARICOPA,4013,ANGELA GREEN
0058 BONSALL PARK,REPUBLICAN,55,MARICOPA,4013,MARTHA MCSALLY
0059 BREWER,DEMOCRAT,831,MARICOPA,4013,KYRSTEN SINEMA
0059 BREWER,GREEN,30,MARICOPA,4013,ANGELA GREEN
0059 BREWER,REPUBLICAN,1162,MARICOPA,4013,MARTHA MCSALLY
006,DEMOCRAT,736,PIMA,4019,KYRSTEN SINEMA
006,GREEN,50,PIMA,4019,ANGELA GREEN
